Frame: 162.0, Anomaly Score: 0.1495, People Count: 24
Frame: 163.0, Anomaly Score: 0.1495, People Count: 21
Frame: 164.0, Anomaly Score: 0.1496, People Count: 23
Frame: 165.0, Anomaly Score: 0.1488, People Count: 21
Frame: 166.0, Anomaly Score: 0.1498, People Count: 20
Frame: 167.0, Anomaly Score: 0.1532, People Count: 18
Frame: 168.0, Anomaly Score: 0.1565, People Count: 18
Frame: 169.0, Anomaly Score: 0.1609, People Count: 20
Frame: 170.0, Anomaly Score: 0.1640, People Count: 21
Frame: 171.0, Anomaly Score: 0.1692, People Count: 20
Frame: 172.0, Anomaly Score: 0.1720, People Count: 20
Frame: 173.0, Anomaly Score: 0.1731, People Count: 19
Frame: 174.0, Anomaly Score: 0.1738, People Count: 18
Frame: 175.0, Anomaly Score: 0.1749, People Count: 23
Frame: 176.0, Anomaly Score: 0.1742, People Count: 23
Frame: 177.0, Anomaly Score: 0.1765, People Count: 23
Frame: 178.0, Anomaly Score: 0.1788, People Count: 23
Frame: 179.0, Anomaly Score: 0.1855, People Count: 24
Frame: 180.0, Anomaly Score: 0.1856, People Count: 24
Frame: 181.0, Anomaly Score: 0.1895, People Count: 24
Frame: 182.0, Anomaly Score: 0.1911, People Count: 23
Frame: 183.0, Anomaly Score: 0.1934, People Count: 24
Frame: 184.0, Anomaly Score: 0.1946, People Count: 23
Frame: 185.0, Anomaly Score: 0.1947, People Count: 22
Frame: 186.0, Anomaly Score: 0.1946, People Count: 21
Frame: 187.0, Anomaly Score: 0.1938, People Count: 23
Frame: 188.0, Anomaly Score: 0.1946, People Count: 24
Frame: 189.0, Anomaly Score: 0.1943, People Count: 23
Frame: 190.0, Anomaly Score: 0.1943, People Count: 22
Frame: 191.0, Anomaly Score: 0.1928, People Count: 21
Frame: 192.0, Anomaly Score: 0.1927, People Count: 22
Frame: 193.0, Anomaly Score: 0.1918, People Count: 21
Frame: 194.0, Anomaly Score: 0.1910, People Count: 21
Frame: 195.0, Anomaly Score: 0.1898, People Count: 22
Frame: 196.0, Anomaly Score: 0.1895, People Count: 23
Frame: 197.0, Anomaly Score: 0.1877, People Count: 23
Frame: 198.0, Anomaly Score: 0.1869, People Count: 24
Frame: 199.0, Anomaly Score: 0.1857, People Count: 22
Frame: 200.0, Anomaly Score: 0.1867, People Count: 22
Frame: 201.0, Anomaly Score: 0.1865, People Count: 21
Frame: 202.0, Anomaly Score: 0.1864, People Count: 23
Frame: 203.0, Anomaly Score: 0.1855, People Count: 23
Frame: 204.0, Anomaly Score: 0.1847, People Count: 25
Frame: 205.0, Anomaly Score: 0.1834, People Count: 24
Frame: 206.0, Anomaly Score: 0.1823, People Count: 23
Frame: 207.0, Anomaly Score: 0.1835, People Count: 23
Frame: 208.0, Anomaly Score: 0.1834, People Count: 21
Frame: 209.0, Anomaly Score: 0.1836, People Count: 22
Frame: 210.0, Anomaly Score: 0.1839, People Count: 21
Frame: 211.0, Anomaly Score: 0.1852, People Count: 21
Frame: 212.0, Anomaly Score: 0.1858, People Count: 21
Frame: 213.0, Anomaly Score: 0.1868, People Count: 19
Frame: 214.0, Anomaly Score: 0.1868, People Count: 20
Frame: 215.0, Anomaly Score: 0.1883, People Count: 19
Frame: 216.0, Anomaly Score: 0.1888, People Count: 22
Frame: 217.0, Anomaly Score: 0.1896, People Count: 18
Frame: 218.0, Anomaly Score: 0.1891, People Count: 18
Frame: 219.0, Anomaly Score: 0.1900, People Count: 22
Frame: 220.0, Anomaly Score: 0.1901, People Count: 19
Frame: 221.0, Anomaly Score: 0.1904, People Count: 21
Frame: 222.0, Anomaly Score: 0.1897, People Count: 22
Frame: 223.0, Anomaly Score: 0.1901, People Count: 22
Frame: 224.0, Anomaly Score: 0.1894, People Count: 23
Frame: 225.0, Anomaly Score: 0.1893, People Count: 20
Frame: 226.0, Anomaly Score: 0.1885, People Count: 21
Frame: 227.0, Anomaly Score: 0.1889, People Count: 20
Frame: 228.0, Anomaly Score: 0.1884, People Count: 21
Frame: 229.0, Anomaly Score: 0.1880, People Count: 21
Frame: 230.0, Anomaly Score: 0.1866, People Count: 18
Frame: 231.0, Anomaly Score: 0.1860, People Count: 20
Frame: 232.0, Anomaly Score: 0.1848, People Count: 21
Frame: 233.0, Anomaly Score: 0.1843, People Count: 21
Frame: 234.0, Anomaly Score: 0.1829, People Count: 21
Frame: 235.0, Anomaly Score: 0.1825, People Count: 22
Frame: 236.0, Anomaly Score: 0.1811, People Count: 21
Frame: 237.0, Anomaly Score: 0.1806, People Count: 20
Frame: 238.0, Anomaly Score: 0.1776, People Count: 20
Frame: 239.0, Anomaly Score: 0.1773, People Count: 19
Frame: 240.0, Anomaly Score: 0.1773, People Count: 18
Frame: 241.0, Anomaly Score: 0.1763, People Count: 18
Frame: 242.0, Anomaly Score: 0.1770, People Count: 17
Frame: 243.0, Anomaly Score: 0.1770, People Count: 19
Frame: 244.0, Anomaly Score: 0.1776, People Count: 19
Frame: 245.0, Anomaly Score: 0.1769, People Count: 19
Frame: 246.0, Anomaly Score: 0.1778, People Count: 20
Frame: 247.0, Anomaly Score: 0.1772, People Count: 20
Frame: 248.0, Anomaly Score: 0.1775, People Count: 22
Frame: 249.0, Anomaly Score: 0.1762, People Count: 21
Frame: 250.0, Anomaly Score: 0.1763, People Count: 18
Frame: 251.0, Anomaly Score: 0.1758, People Count: 16
Frame: 252.0, Anomaly Score: 0.1762, People Count: 17
Frame: 253.0, Anomaly Score: 0.1757, People Count: 20
Frame: 254.0, Anomaly Score: 0.1760, People Count: 17
Frame: 255.0, Anomaly Score: 0.1765, People Count: 19
Frame: 256.0, Anomaly Score: 0.1764, People Count: 19
Frame: 257.0, Anomaly Score: 0.1773, People Count: 20
Frame: 258.0, Anomaly Score: 0.1773, People Count: 19
Frame: 259.0, Anomaly Score: 0.1775, People Count: 19
Frame: 260.0, Anomaly Score: 0.1771, People Count: 19
Frame: 261.0, Anomaly Score: 0.1780, People Count: 21
Frame: 262.0, Anomaly Score: 0.1787, People Count: 19
Frame: 263.0, Anomaly Score: 0.1780, People Count: 20
